file_name,column_name,data_type,description,unit,allowed_values_or_range,missing_value_rule,notes
data/processed/missing_summary.csv,missing_count,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/missing_summary.csv,missing_rate,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/missing_summary.csv,unique_count,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,n,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,MAPE,float64,mean absolute percentage error,percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics.csv,R2,float64,coefficient of determination,unitless,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,n,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,MAPE,float64,mean absolute percentage error,percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_history.csv,R2,float64,coefficient of determination,unitless,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,n,int64,"count of records, windows, or samples",count,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,MAPE,float64,mean absolute percentage error,percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_metrics_by_horizon.csv,R2,float64,coefficient of determination,unitless,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_runtime_summary.csv,stage,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_runtime_summary.csv,seconds,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase3_baseline_runtime_summary.csv,rows,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_metrics.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
