experiment,model,feature_group,target,target_column,history_hours,horizon_hours,train_ratio,seed,mae,rmse,smape,n_train_windows,n_val_windows,n_test_windows,best_epoch,best_val_mae,train_start,train_end_selected,val_start,val_end,test_start,test_end
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.8,1,0.8964183175512892,1.4799311844308727,0.012221824247021111,49304,5590,6321,4,1.1236998767886903,2025-12-15 13:00:00,2026-01-24 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.8,2,1.0277904823712394,1.7473721001525397,0.01489473834891387,49304,5590,6321,1,1.2208949947186574,2025-12-15 13:00:00,2026-01-24 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.8,3,1.0210920550215568,1.5230127113649605,0.013439387536631967,49304,5590,6321,4,1.1596741084335955,2025-12-15 13:00:00,2026-01-24 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.8,4,0.9507949176119053,1.5019689198091695,0.012941579965214648,49304,5590,6321,2,1.1362643629152573,2025-12-15 13:00:00,2026-01-24 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,0.8,5,1.0272267019799608,1.4859405503292369,0.013117180886729076,49304,5590,6321,4,1.2255015030316676,2025-12-15 13:00:00,2026-01-24 23:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,1.0,1,0.8268225455167192,1.4322915842662725,0.011033952387217766,61570,5590,6321,6,1.0248563490101605,2025-12-15 13:00:00,2026-02-04 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,1.0,2,0.8712424236165441,1.4557555218859517,0.01181293028948267,61570,5590,6321,4,1.0782702055301563,2025-12-15 13:00:00,2026-02-04 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,1.0,3,0.8611467751006766,1.4530885289564395,0.011425125390616117,61570,5590,6321,3,1.074942948779821,2025-12-15 13:00:00,2026-02-04 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,1.0,4,0.8857699923642808,1.5108677562751325,0.0119910790785635,61570,5590,6321,1,1.0794142175445829,2025-12-15 13:00:00,2026-02-04 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,6,1.0,5,0.8693519770919927,1.4022084698317587,0.011496638473513947,61570,5590,6321,5,1.0662213634293067,2025-12-15 13:00:00,2026-02-04 01:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-03-01 00:00:00
